fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,April,15,KARNATAKA,1511,DAKSHINA KANNADA,132800,185.7325109,24,11,1.03774,739,0,24653,165699,6170,12406,8144,11623,0,308.7946533,6722,11358,69531,161530,4,149830,343608,25392,307.7569133,76562,88,71.74,63.74,100,NA
2022-2023,April,15,KARNATAKA,1516,HASSAN,360000,226.2395217,15,53,14.34,2139,29,68004,159936,22910,72200,3004,7074,129.14849,505.3269315,10553,18589,166677,410838,0,267314,653152,70143,361.8384415,79608,82,72.71,61.56,100.13,NA
2022-2023,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,2128000,303.6533182,28,373,3405.769,10048,0,11957,1306424,334160,89747,119167,34268,212.61836,7585.387185,45711,73897,132651,310502,122,217773,518962,22005,3966.999825,706052,78,60,57.55,101.13,NA
2022-2023,Oct,15,KARNATAKA,1520,KOPPAL,5320000,289.0877532,39,2815,10251.07269,26163,0,30445,6487585,1105076,91298,923653,75142,507.10072,29512.98712,162834,339391,208674,537305,1524,311819,901101,56608,18754.81372,3356506,73,84.28,83.56,99.92,NA
2022-2023,Oct,15,KARNATAKA,1522,MYSURU,2508000,307.7607977,31,179,5540.747052,22741,6,43732,1708034,287504,80831,179296,47440,255.58703,11052.99315,53590,97412,158343,404423,337,333593,852718,66473,5256.659063,844891,80,51.49,55.32,100.31,NA
2022-2023,Oct,15,KARNATAKA,1527,UTTARA KANNADA,1254000,300.1905395,28,108,1896.016138,8504,2,26980,1041414,56434,15477,38784,8395,294.34805,5316.590492,36031,61444,89579,223716,103,200066,452981,35484,3126.226305,517603,81,54.55,58.35,100.13,NA
2022-2023,Aug,15,KARNATAKA,1506,BIDAR,2790000,298.2780889,31,427,5749.168207,12353,0,33983,2973276,744410,78244,510065,50585,253.38193,14871.18097,94995,154867,145181,286475,57,235190,502875,46336,8868.630831,1572663,58,56.84,64.17,100.43,NA
2022-2023,Aug,15,KARNATAKA,1509,CHIKKAMAGALURU,1612000,286.541899,30,99,4556.326135,11729,0,30470,942723,138611,45778,29396,9026,244.73215,7502.354671,31339,56768,95602,232841,71,171045,395559,42199,2701.296386,473250,70,58.47,65.13,100.09,NA
2022-2023,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,1029200,288.9792244,40,42,848.7775263,5839,0,26189,758413,34847,12548,41132,11731,112.33763,3152.771161,18647,32711,71346,165032,162,162643,360549,32028,2191.656005,361803,89,74.57,64.63,100,NA
2022-2023,Aug,15,KARNATAKA,1514,GADAG,2294000,308.3941404,22,594,251.0613944,2502,0,21886,1189843,219411,55977,103457,25364,135.78775,4056.255236,53613,109303,119541,304259,53,161340,414086,24388,3669.406092,559085,67,70.8,72.58,100.01,NA
