fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,Oct,15,KARNATAKA,1510,CHITRADURGA,4738515,284.1960198,39,414,4770.231343,21644,0,41759,4715240,919818,100029,1079329,91831,360.5,18531.25575,119941,217308,186866,458969,572,322728,796265,63403,13400.52441,2444136,70,92.13,92.08,101.31,NA
2021-2022,Oct,15,KARNATAKA,1517,HAVERI,4260584,284.2249441,40,568,5206.643202,15397,0,17582,4213900,528167,53836,500203,41512,216.155,17399.75312,102915,205922,149927,368499,584,249239,598589,32979,11976.95492,1896163,81,60.46,62.54,100.44,NA
2021-2022,Oct,15,KARNATAKA,1522,MYSURU,3641101,277.8216163,38,289,3584.710685,13175,1,43627,3601511,549106,75499,364769,45392,83,13673.48676,92557,180920,158920,409446,877,320557,824015,56802,10005.77607,1736234,80,76.31,72.27,100.76,NA
2021-2022,Dec,15,KARNATAKA,1506,BIDAR,4689302,289.3490129,40,528,3745.216822,10622,0,20501,4666207,1097059,77062,773424,47893,220.73,17467.57071,113908,196224,141797,289699,1137,237275,477993,31123,13501.62389,2428975,58,55.92,63.74,102.46,NA
2021-2022,Dec,15,KARNATAKA,1508,CHAMARAJA NAGARA,2898365,286.5191297,34,743,1723.98448,7353,0,14725,2884928,805994,85877,261521,32559,349.92483,10339.77991,84316,146827,131419,307275,301,218104,512316,22078,8265.870599,1499928,76,87.29,80.58,100.57,NA
2021-2022,Dec,15,KARNATAKA,1509,CHIKKAMAGALURU,2545677,286.1140652,45,202,2085.58973,13577,0,28213,2544199,399160,44943,82665,8903,253,9617.900916,56436,109231,94461,234054,2448,161397,379874,41790,7279.311185,1297203,71,77.9,80.24,100.1,NA
2021-2022,Dec,15,KARNATAKA,1511,DAKSHINA KANNADA,1452958,282.11835,46,106,1823.371377,9713,0,26115,1452655,79480,13509,98806,12149,288.59709,6210.174784,31067,56978,69156,159860,626,151077,335955,35828,4098.206317,676210,89,79.11,68.65,100.05,NA
2021-2022,Dec,15,KARNATAKA,1519,KOLAR,4696802,284.1414304,46,604,9232.81236,10773,9,11894,4676039,1078080,92248,291622,22434,419.81587,22939.19233,100036,176415,138156,351096,725,235823,602470,22667,13286.5641,2394245,75,70.85,71.68,100.35,NA
2021-2022,Dec,15,KARNATAKA,1523,RAICHUR,10347173,252.6297233,44,864,11843.91578,20045,0,30327,10296241,1754492,109983,2290141,136750,271,38126.28093,232288,475112,261089,639460,4111,351474,857543,50372,26011.36515,5229069,68,68.15,77.62,100.01,NA
2021-2022,Dec,15,KARNATAKA,1524,SHIVAMOGGA,3266358,287.4363127,32,632,4032.033551,11953,1,14214,3258079,633895,86246,152597,19110,253.13661,13650.0723,101414,184929,159538,404431,1084,235102,560120,26167,9364.902143,1604862,75,77.41,80.78,100.74,NA
